Description,"Code 
Type","CPT/HCPCS 
DRG Code","Code
CDM/ERX/SUP",NDC,"Revenue
Code",Quantity,IP XR Aetna,IP XR Anthem,"IP XR
Blue Shield","IP XR
Cigna","IP XR
Health Net","IP XR
Kaiser","IP XR
United",Min,Max
Disorders of pancreas except malignancy,DRG,MS-DRG V37 (FY2020) 439,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31591.93504,Variable,Variable
Disorders of pancreas except malignancy,DRG,MS-DRG V37 (FY2020) 440,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,21232.98179,Variable,Variable
"Disorders of liver except malig,cirr,alc hepa",DRG,MS-DRG V37 (FY2020) 441,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,99782.95166,Variable,Variable
"Disorders of liver except malig,cirr,alc hepa",DRG,MS-DRG V37 (FY2020) 442,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,45064.14876,Variable,Variable
"Disorders of liver except malig,cirr,alc hepa",DRG,MS-DRG V37 (FY2020) 443,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,22700.358,Variable,Variable
Disorders of the biliary tract,DRG,MS-DRG V37 (FY2020) 444,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,42725.4703,Variable,Variable
Disorders of the biliary tract,DRG,MS-DRG V37 (FY2020) 445,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,29164.19597,Variable,Variable
Disorders of the biliary tract,DRG,MS-DRG V37 (FY2020) 446,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33320.39631,Variable,Variable
Combined anterior/posterior spinal fusion,DRG,MS-DRG V37 (FY2020) 453,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,167655.1729,Variable,Variable
Combined anterior/posterior spinal fusion,DRG,MS-DRG V37 (FY2020) 454,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,186643.3338,Variable,Variable
Combined anterior/posterior spinal fusion,DRG,MS-DRG V37 (FY2020) 455,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,117798.8579,Variable,Variable
Spinal fus exc cerv w spinal curv/malig/infec or ext fus,DRG,MS-DRG V37 (FY2020) 456,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,339711.8091,Variable,Variable
Spinal fus exc cerv w spinal curv/malig/infec or ext fus,DRG,MS-DRG V37 (FY2020) 457,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,276361.2299,Variable,Variable
Spinal fus exc cerv w spinal curv/malig/infec or ext fus,DRG,MS-DRG V37 (FY2020) 458,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,135479.8217,Variable,Variable
Spinal fusion except cervical,DRG,MS-DRG V37 (FY2020) 459,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,211546.7407,Variable,Variable
Spinal fusion except cervical,DRG,MS-DRG V37 (FY2020) 460,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,117987.1687,Variable,Variable
Bilateral or multiple major joint procs of lower extremity,DRG,MS-DRG V37 (FY2020) 461,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,473881.13,Variable,Variable
Bilateral or multiple major joint procs of lower extremity,DRG,MS-DRG V37 (FY2020) 462,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,288267.4671,Variable,Variable
"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis",DRG,MS-DRG V37 (FY2020) 463,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,95328.12633,Variable,Variable
"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis",DRG,MS-DRG V37 (FY2020) 464,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,78133.21637,Variable,Variable
"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis",DRG,MS-DRG V37 (FY2020) 465,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,74886.15221,Variable,Variable
Revision of hip or knee replacement,DRG,MS-DRG V37 (FY2020) 466,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,217336.8948,Variable,Variable
Revision of hip or knee replacement,DRG,MS-DRG V37 (FY2020) 467,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,113072.1776,Variable,Variable
Revision of hip or knee replacement,DRG,MS-DRG V37 (FY2020) 468,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,52399.08008,Variable,Variable
Major joint replacement or reattachment of lower extremity,DRG,MS-DRG V37 (FY2020) 469,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,94371.84086,Variable,Variable
Major joint replacement or reattachment of lower extremity,DRG,MS-DRG V37 (FY2020) 470,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,67590.285,Variable,Variable
Cervical spinal fusion,DRG,MS-DRG V37 (FY2020) 471,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,146014.6215,Variable,Variable
Cervical spinal fusion,DRG,MS-DRG V37 (FY2020) 472,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,87222.26485,Variable,Variable
Cervical spinal fusion,DRG,MS-DRG V37 (FY2020) 473,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,83411.49061,Variable,Variable
Amputation for musculoskeletal sys & conn tissue dis,DRG,MS-DRG V37 (FY2020) 474,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,88008.90885,Variable,Variable
Amputation for musculoskeletal sys & conn tissue dis,DRG,MS-DRG V37 (FY2020) 475,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39342.55216,Variable,Variable
Amputation for musculoskeletal sys & conn tissue dis,DRG,MS-DRG V37 (FY2020) 476,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44940.27939,Variable,Variable
Biopsies of musculoskeletal system & connective tissue,DRG,MS-DRG V37 (FY2020) 477,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,110848.881,Variable,Variable
Biopsies of musculoskeletal system & connective tissue,DRG,MS-DRG V37 (FY2020) 478,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61402.7353,Variable,Variable
Biopsies of musculoskeletal system & connective tissue,DRG,MS-DRG V37 (FY2020) 479,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,23121.18117,Variable,Variable
Hip & femur procedures except major joint,DRG,MS-DRG V37 (FY2020) 480,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,83848.14368,Variable,Variable
Hip & femur procedures except major joint,DRG,MS-DRG V37 (FY2020) 481,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,83960.35339,Variable,Variable
Hip & femur procedures except major joint,DRG,MS-DRG V37 (FY2020) 482,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,56295.79692,Variable,Variable
Major joint/limb reattachment procedure of upper extremities,DRG,MS-DRG V37 (FY2020) 483,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,63860.35467,Variable,Variable
Knee procedures w pdx of infection,DRG,MS-DRG V37 (FY2020) 485,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,231872.7681,Variable,Variable
Knee procedures w pdx of infection,DRG,MS-DRG V37 (FY2020) 486,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,79459.70954,Variable,Variable
Knee procedures w pdx of infection,DRG,MS-DRG V37 (FY2020) 487,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,47681.46755,Variable,Variable
Knee procedures w/o pdx of infection,DRG,MS-DRG V37 (FY2020) 488,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,67608.91569,Variable,Variable
Knee procedures w/o pdx of infection,DRG,MS-DRG V37 (FY2020) 489,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39904.45178,Variable,Variable
"Lower extrem & humer proc except hip,foot,femur",DRG,MS-DRG V37 (FY2020) 492,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,120854.6634,Variable,Variable
"Lower extrem & humer proc except hip,foot,femur",DRG,MS-DRG V37 (FY2020) 493,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,78760.86502,Variable,Variable
"Lower extrem & humer proc except hip,foot,femur",DRG,MS-DRG V37 (FY2020) 494,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48630.2868,Variable,Variable
Local excision & removal int fix devices exc hip & femur,DRG,MS-DRG V37 (FY2020) 495,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,180183.3025,Variable,Variable
Local excision & removal int fix devices exc hip & femur,DRG,MS-DRG V37 (FY2020) 496,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,47379.39185,Variable,Variable
Local excision & removal int fix devices exc hip & femur,DRG,MS-DRG V37 (FY2020) 497,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,44289.24953,Variable,Variable
Local excision & removal int fix devices of hip & femur,DRG,MS-DRG V37 (FY2020) 498,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,21987.49403,Variable,Variable
Local excision & removal int fix devices of hip & femur,DRG,MS-DRG V37 (FY2020) 499,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28247.94174,Variable,Variable
Soft tissue procedures,DRG,MS-DRG V37 (FY2020) 500,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,85969.98498,Variable,Variable
Soft tissue procedures,DRG,MS-DRG V37 (FY2020) 501,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,55149.42111,Variable,Variable
Soft tissue procedures,DRG,MS-DRG V37 (FY2020) 502,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32720.13664,Variable,Variable
Foot procedures,DRG,MS-DRG V37 (FY2020) 503,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,112349.6037,Variable,Variable
Foot procedures,DRG,MS-DRG V37 (FY2020) 504,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61289.28767,Variable,Variable
Foot procedures,DRG,MS-DRG V37 (FY2020) 505,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24894.10698,Variable,Variable
Major thumb or joint procedures,DRG,MS-DRG V37 (FY2020) 506,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,66874.07864,Variable,Variable
Major shoulder or elbow joint procedures,DRG,MS-DRG V37 (FY2020) 507,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,39623.04935,Variable,Variable
Major shoulder or elbow joint procedures,DRG,MS-DRG V37 (FY2020) 508,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,20458.98005,Variable,Variable
Arthroscopy,DRG,MS-DRG V37 (FY2020) 509,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36946.40326,Variable,Variable
"Shoulder,elbow or forearm proc,exc major joint proc",DRG,MS-DRG V37 (FY2020) 510,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,68022.77556,Variable,Variable
"Shoulder,elbow or forearm proc,exc major joint proc",DRG,MS-DRG V37 (FY2020) 511,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,66305.40141,Variable,Variable
"Shoulder,elbow or forearm proc,exc major joint proc",DRG,MS-DRG V37 (FY2020) 512,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,48185.49441,Variable,Variable
"Hand or wrist proc, except major thumb or joint proc",DRG,MS-DRG V37 (FY2020) 513,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32995.75953,Variable,Variable
"Hand or wrist proc, except major thumb or joint proc",DRG,MS-DRG V37 (FY2020) 514,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31619.98166,Variable,Variable
Other musculoskelet sys & conn tiss O.R. proc,DRG,MS-DRG V37 (FY2020) 515,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,132928.6542,Variable,Variable
Other musculoskelet sys & conn tiss O.R. proc,DRG,MS-DRG V37 (FY2020) 516,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,68930.45719,Variable,Variable
Other musculoskelet sys & conn tiss O.R. proc,DRG,MS-DRG V37 (FY2020) 517,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,52103.33326,Variable,Variable
Back & neck proc exc spinal fusion,DRG,MS-DRG V37 (FY2020) 518,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,76905.24615,Variable,Variable
Back & neck proc exc spinal fusion,DRG,MS-DRG V37 (FY2020) 519,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,66438.84145,Variable,Variable
Back & neck proc exc spinal fusion,DRG,MS-DRG V37 (FY2020) 520,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33772.22937,Variable,Variable
Fractures of femur,DRG,MS-DRG V37 (FY2020) 533,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24276.176,Variable,Variable
Fractures of femur,DRG,MS-DRG V37 (FY2020) 534,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,9764.032104,Variable,Variable
Fractures of hip & pelvis,DRG,MS-DRG V37 (FY2020) 535,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33752.53871,Variable,Variable
Fractures of hip & pelvis,DRG,MS-DRG V37 (FY2020) 536,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,26382.51236,Variable,Variable
"Sprains, strains, & dislocations of hip, pelvis & thigh",DRG,MS-DRG V37 (FY2020) 537,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28994.23729,Variable,Variable
"Sprains, strains, & dislocations of hip, pelvis & thigh",DRG,MS-DRG V37 (FY2020) 538,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27340.43033,Variable,Variable
Osteomyelitis,DRG,MS-DRG V37 (FY2020) 539,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35508.70618,Variable,Variable
Osteomyelitis,DRG,MS-DRG V37 (FY2020) 540,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,51549.95981,Variable,Variable
Osteomyelitis,DRG,MS-DRG V37 (FY2020) 541,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28251.18354,Variable,Variable
Pathological fractures & musculoskelet & conn tiss malig,DRG,MS-DRG V37 (FY2020) 542,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,118965.9998,Variable,Variable
Pathological fractures & musculoskelet & conn tiss malig,DRG,MS-DRG V37 (FY2020) 543,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,40543.33456,Variable,Variable
Pathological fractures & musculoskelet & conn tiss malig,DRG,MS-DRG V37 (FY2020) 544,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,23632.6665,Variable,Variable
Connective tissue disorders,DRG,MS-DRG V37 (FY2020) 545,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,95533.96921,Variable,Variable
Connective tissue disorders,DRG,MS-DRG V37 (FY2020) 546,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31980.99008,Variable,Variable
Connective tissue disorders,DRG,MS-DRG V37 (FY2020) 547,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,19331.4593,Variable,Variable
Septic arthritis,DRG,MS-DRG V37 (FY2020) 548,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,136317.6305,Variable,Variable
Septic arthritis,DRG,MS-DRG V37 (FY2020) 549,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38414.29784,Variable,Variable
Septic arthritis,DRG,MS-DRG V37 (FY2020) 550,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,11500.50117,Variable,Variable
Medical back problems,DRG,MS-DRG V37 (FY2020) 551,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,42990.02928,Variable,Variable
Medical back problems,DRG,MS-DRG V37 (FY2020) 552,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32627.32359,Variable,Variable
Bone diseases & arthropathies,DRG,MS-DRG V37 (FY2020) 553,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,77356.2823,Variable,Variable
Bone diseases & arthropathies,DRG,MS-DRG V37 (FY2020) 554,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28092.68336,Variable,Variable
Signs & symptoms of musculoskeletal system & conn tissue,DRG,MS-DRG V37 (FY2020) 555,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,41847.60707,Variable,Variable
Signs & symptoms of musculoskeletal system & conn tissue,DRG,MS-DRG V37 (FY2020) 556,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,16400.40517,Variable,Variable
"Tendonitis, myositis & bursitis",DRG,MS-DRG V37 (FY2020) 557,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28476.78673,Variable,Variable
"Tendonitis, myositis & bursitis",DRG,MS-DRG V37 (FY2020) 558,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,20151.0165,Variable,Variable
"Aftercare, musculoskeletal system & connective tissue",DRG,MS-DRG V37 (FY2020) 559,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,28123.30641,Variable,Variable
"Aftercare, musculoskeletal system & connective tissue",DRG,MS-DRG V37 (FY2020) 560,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27592.47084,Variable,Variable
"Aftercare, musculoskeletal system & connective tissue",DRG,MS-DRG V37 (FY2020) 561,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,19243.16466,Variable,Variable
"Fx, sprn, strn & disl except femur, hip, pelvis & thigh",DRG,MS-DRG V37 (FY2020) 562,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,37236.01464,Variable,Variable
"Fx, sprn, strn & disl except femur, hip, pelvis & thigh",DRG,MS-DRG V37 (FY2020) 563,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,45904.44886,Variable,Variable
Other musculoskeletal sys & connective tissue diagnoses,DRG,MS-DRG V37 (FY2020) 564,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38745.27123,Variable,Variable
Other musculoskeletal sys & connective tissue diagnoses,DRG,MS-DRG V37 (FY2020) 565,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,52746.95108,Variable,Variable
Other musculoskeletal sys & connective tissue diagnoses,DRG,MS-DRG V37 (FY2020) 566,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,26348.3535,Variable,Variable
Skin debridement,DRG,MS-DRG V37 (FY2020) 570,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,77400.34451,Variable,Variable
Skin debridement,DRG,MS-DRG V37 (FY2020) 571,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,55041.69886,Variable,Variable
Skin debridement,DRG,MS-DRG V37 (FY2020) 572,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,45798.46743,Variable,Variable
Skin graft for skin ulcer or cellulitis,DRG,MS-DRG V37 (FY2020) 573,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,210752.2746,Variable,Variable
Skin graft for skin ulcer or cellulitis,DRG,MS-DRG V37 (FY2020) 574,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,69305.80227,Variable,Variable
Skin graft for skin ulcer or cellulitis,DRG,MS-DRG V37 (FY2020) 575,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,52657.2483,Variable,Variable
Skin graft exc for skin ulcer or cellulitis,DRG,MS-DRG V37 (FY2020) 576,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,49836.3381,Variable,Variable
Skin graft exc for skin ulcer or cellulitis,DRG,MS-DRG V37 (FY2020) 577,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,76759.26443,Variable,Variable
Skin graft exc for skin ulcer or cellulitis,DRG,MS-DRG V37 (FY2020) 578,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36713.21008,Variable,Variable
"Other skin, subcut tiss & breast proc",DRG,MS-DRG V37 (FY2020) 579,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,89293.29728,Variable,Variable
"Other skin, subcut tiss & breast proc",DRG,MS-DRG V37 (FY2020) 580,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,78800.67188,Variable,Variable
"Other skin, subcut tiss & breast proc",DRG,MS-DRG V37 (FY2020) 581,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,82518.30038,Variable,Variable
Mastectomy for malignancy,DRG,MS-DRG V37 (FY2020) 582,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,74952.55114,Variable,Variable
Mastectomy for malignancy,DRG,MS-DRG V37 (FY2020) 583,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,66375.64563,Variable,Variable
"Breast biopsy, local excision & other breast procedures",DRG,MS-DRG V37 (FY2020) 584,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,84821.75228,Variable,Variable
"Breast biopsy, local excision & other breast procedures",DRG,MS-DRG V37 (FY2020) 585,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,90821.68747,Variable,Variable
Skin ulcers,DRG,MS-DRG V37 (FY2020) 592,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,40806.92641,Variable,Variable
Skin ulcers,DRG,MS-DRG V37 (FY2020) 593,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,18758.75882,Variable,Variable
Skin ulcers,DRG,MS-DRG V37 (FY2020) 594,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33480.97775,Variable,Variable
Major skin disorders,DRG,MS-DRG V37 (FY2020) 595,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,71305.49182,Variable,Variable
Major skin disorders,DRG,MS-DRG V37 (FY2020) 596,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,37943.57876,Variable,Variable
Malignant breast disorders,DRG,MS-DRG V37 (FY2020) 597,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,290018.2651,Variable,Variable
Malignant breast disorders,DRG,MS-DRG V37 (FY2020) 598,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,22731.62322,Variable,Variable
Malignant breast disorders,DRG,MS-DRG V37 (FY2020) 599,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61019.62227,Variable,Variable
Non-malignant breast disorders,DRG,MS-DRG V37 (FY2020) 600,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24136.07441,Variable,Variable
Non-malignant breast disorders,DRG,MS-DRG V37 (FY2020) 601,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,9472.4091,Variable,Variable
Cellulitis,DRG,MS-DRG V37 (FY2020) 602,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35398.40751,Variable,Variable
Cellulitis,DRG,MS-DRG V37 (FY2020) 603,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,25436.88848,Variable,Variable
"Trauma to the skin, subcut tiss & breast",DRG,MS-DRG V37 (FY2020) 604,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,35411.83894,Variable,Variable
"Trauma to the skin, subcut tiss & breast",DRG,MS-DRG V37 (FY2020) 605,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,32573.94602,Variable,Variable
Minor skin disorders,DRG,MS-DRG V37 (FY2020) 606,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24170.241,Variable,Variable
Minor skin disorders,DRG,MS-DRG V37 (FY2020) 607,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,23107.57952,Variable,Variable
Adrenal & pituitary procedures,DRG,MS-DRG V37 (FY2020) 614,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,57166.65043,Variable,Variable
Adrenal & pituitary procedures,DRG,MS-DRG V37 (FY2020) 615,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38031.30087,Variable,Variable
"Amputat of lower limb for endocrine,nutrit,& metabol dis",DRG,MS-DRG V37 (FY2020) 616,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,143058.2983,Variable,Variable
"Amputat of lower limb for endocrine,nutrit,& metabol dis",DRG,MS-DRG V37 (FY2020) 617,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,57709.0915,Variable,Variable
O.R. procedures for obesity,DRG,MS-DRG V37 (FY2020) 619,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,192365.2012,Variable,Variable
O.R. procedures for obesity,DRG,MS-DRG V37 (FY2020) 620,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33825.49088,Variable,Variable
O.R. procedures for obesity,DRG,MS-DRG V37 (FY2020) 621,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,27525.90943,Variable,Variable
"Skin grafts & wound debrid for endoc, nutrit & metab dis",DRG,MS-DRG V37 (FY2020) 622,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,202751.4506,Variable,Variable
"Skin grafts & wound debrid for endoc, nutrit & metab dis",DRG,MS-DRG V37 (FY2020) 623,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,29960.89033,Variable,Variable
"Skin grafts & wound debrid for endoc, nutrit & metab dis",DRG,MS-DRG V37 (FY2020) 624,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,9987.167184,Variable,Variable
"Thyroid, parathyroid & thyroglossal procedures",DRG,MS-DRG V37 (FY2020) 625,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36371.18825,Variable,Variable
"Thyroid, parathyroid & thyroglossal procedures",DRG,MS-DRG V37 (FY2020) 626,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,50802.57335,Variable,Variable
"Thyroid, parathyroid & thyroglossal procedures",DRG,MS-DRG V37 (FY2020) 627,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,38275.2949,Variable,Variable
"Other endocrine, nutrit & metab O.R. proc",DRG,MS-DRG V37 (FY2020) 628,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,22759.03541,Variable,Variable
"Other endocrine, nutrit & metab O.R. proc",DRG,MS-DRG V37 (FY2020) 629,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,52067.95196,Variable,Variable
"Other endocrine, nutrit & metab O.R. proc",DRG,MS-DRG V37 (FY2020) 630,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,53176.91164,Variable,Variable
Diabetes,DRG,MS-DRG V37 (FY2020) 637,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,47670.72859,Variable,Variable
Diabetes,DRG,MS-DRG V37 (FY2020) 638,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,31569.20373,Variable,Variable
Diabetes,DRG,MS-DRG V37 (FY2020) 639,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,37840.90104,Variable,Variable
"Misc disorders of nutrition,metabolism,fluids/electrolytes",DRG,MS-DRG V37 (FY2020) 640,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,46295.70895,Variable,Variable
"Misc disorders of nutrition,metabolism,fluids/electrolytes",DRG,MS-DRG V37 (FY2020) 641,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,24514.13517,Variable,Variable
Inborn and other disorders of metabolism,DRG,MS-DRG V37 (FY2020) 642,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,33628.84729,Variable,Variable
Endocrine disorders,DRG,MS-DRG V37 (FY2020) 643,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,61087.3365,Variable,Variable
Endocrine disorders,DRG,MS-DRG V37 (FY2020) 644,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,36461.37073,Variable,Variable
Endocrine disorders,DRG,MS-DRG V37 (FY2020) 645,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,17025.63214,Variable,Variable
Kidney transplant,DRG,MS-DRG V37 (FY2020) 652,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,168473.6702,Variable,Variable
Major bladder procedures,DRG,MS-DRG V37 (FY2020) 653,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,219478.1096,Variable,Variable
Major bladder procedures,DRG,MS-DRG V37 (FY2020) 654,,NA,,,Variable,Variable,Variable,Variable,Variable,Variable,113500.2581,Variable,Variable
